radius,delay,emddim,group,metric
"simpleWarning in optimizeParam(TS1, TS2, parameters, min.rec = 3.5, max.rec = 4.5): Optimal Radius Not found: try again choosing a wider radius span and larger sample size
","simpleWarning in optimizeParam(TS1, TS2, parameters, min.rec = 3.5, max.rec = 4.5): Optimal Radius Not found: try again choosing a wider radius span and larger sample size
","simpleWarning in optimizeParam(TS1, TS2, parameters, min.rec = 3.5, max.rec = 4.5): Optimal Radius Not found: try again choosing a wider radius span and larger sample size
",1,HR
0.286290305345689,0,19,1,RESP
2.63006553291488,20,12,2,HR
"simpleWarning in optimizeParam(TS1, TS2, parameters, min.rec = 3.5, max.rec = 4.5): Optimal Radius Not found: try again choosing a wider radius span and larger sample size
","simpleWarning in optimizeParam(TS1, TS2, parameters, min.rec = 3.5, max.rec = 4.5): Optimal Radius Not found: try again choosing a wider radius span and larger sample size
","simpleWarning in optimizeParam(TS1, TS2, parameters, min.rec = 3.5, max.rec = 4.5): Optimal Radius Not found: try again choosing a wider radius span and larger sample size
",2,RESP
"simpleWarning in optimizeParam(TS1, TS2, parameters, min.rec = 3.5, max.rec = 4.5): Optimal Radius Not found: try again choosing a wider radius span and larger sample size
","simpleWarning in optimizeParam(TS1, TS2, parameters, min.rec = 3.5, max.rec = 4.5): Optimal Radius Not found: try again choosing a wider radius span and larger sample size
","simpleWarning in optimizeParam(TS1, TS2, parameters, min.rec = 3.5, max.rec = 4.5): Optimal Radius Not found: try again choosing a wider radius span and larger sample size
",4,HR
0.385239587242579,34,2,4,RESP
"simpleWarning in optimizeParam(TS1, TS2, parameters, min.rec = 3.5, max.rec = 4.5): Optimal Radius Not found: try again choosing a wider radius span and larger sample size
","simpleWarning in optimizeParam(TS1, TS2, parameters, min.rec = 3.5, max.rec = 4.5): Optimal Radius Not found: try again choosing a wider radius span and larger sample size
","simpleWarning in optimizeParam(TS1, TS2, parameters, min.rec = 3.5, max.rec = 4.5): Optimal Radius Not found: try again choosing a wider radius span and larger sample size
",5,HR
"simpleWarning in optimizeParam(TS1, TS2, parameters, min.rec = 3.5, max.rec = 4.5): Optimal Radius Not found: try again choosing a wider radius span and larger sample size
","simpleWarning in optimizeParam(TS1, TS2, parameters, min.rec = 3.5, max.rec = 4.5): Optimal Radius Not found: try again choosing a wider radius span and larger sample size
","simpleWarning in optimizeParam(TS1, TS2, parameters, min.rec = 3.5, max.rec = 4.5): Optimal Radius Not found: try again choosing a wider radius span and larger sample size
",5,RESP
0.287210551007032,0,20,6,HR
0.430416700850258,49,2,6,RESP
"simpleWarning in optimizeParam(TS1, TS2, parameters, min.rec = 3.5, max.rec = 4.5): Optimal Radius Not found: try again choosing a wider radius span and larger sample size
","simpleWarning in optimizeParam(TS1, TS2, parameters, min.rec = 3.5, max.rec = 4.5): Optimal Radius Not found: try again choosing a wider radius span and larger sample size
","simpleWarning in optimizeParam(TS1, TS2, parameters, min.rec = 3.5, max.rec = 4.5): Optimal Radius Not found: try again choosing a wider radius span and larger sample size
",7,HR
"simpleWarning in optimizeParam(TS1, TS2, parameters, min.rec = 3.5, max.rec = 4.5): Optimal Radius Not found: try again choosing a wider radius span and larger sample size
","simpleWarning in optimizeParam(TS1, TS2, parameters, min.rec = 3.5, max.rec = 4.5): Optimal Radius Not found: try again choosing a wider radius span and larger sample size
","simpleWarning in optimizeParam(TS1, TS2, parameters, min.rec = 3.5, max.rec = 4.5): Optimal Radius Not found: try again choosing a wider radius span and larger sample size
",7,RESP
"simpleWarning in optimizeParam(TS1, TS2, parameters, min.rec = 3.5, max.rec = 4.5): Optimal Radius Not found: try again choosing a wider radius span and larger sample size
","simpleWarning in optimizeParam(TS1, TS2, parameters, min.rec = 3.5, max.rec = 4.5): Optimal Radius Not found: try again choosing a wider radius span and larger sample size
","simpleWarning in optimizeParam(TS1, TS2, parameters, min.rec = 3.5, max.rec = 4.5): Optimal Radius Not found: try again choosing a wider radius span and larger sample size
",8,HR
0.739789254475749,15,3,8,RESP
"simpleWarning in optimizeParam(TS1, TS2, parameters, min.rec = 3.5, max.rec = 4.5): Optimal Radius Not found: try again choosing a wider radius span and larger sample size
","simpleWarning in optimizeParam(TS1, TS2, parameters, min.rec = 3.5, max.rec = 4.5): Optimal Radius Not found: try again choosing a wider radius span and larger sample size
","simpleWarning in optimizeParam(TS1, TS2, parameters, min.rec = 3.5, max.rec = 4.5): Optimal Radius Not found: try again choosing a wider radius span and larger sample size
",9,HR
0.232819426471518,3,2,9,RESP
"simpleWarning in optimizeParam(TS1, TS2, parameters, min.rec = 3.5, max.rec = 4.5): Optimal Radius Not found: try again choosing a wider radius span and larger sample size
","simpleWarning in optimizeParam(TS1, TS2, parameters, min.rec = 3.5, max.rec = 4.5): Optimal Radius Not found: try again choosing a wider radius span and larger sample size
","simpleWarning in optimizeParam(TS1, TS2, parameters, min.rec = 3.5, max.rec = 4.5): Optimal Radius Not found: try again choosing a wider radius span and larger sample size
",10,HR
0.430788644724933,30,2,10,RESP
